SCORE:,total_score,coordinate_constraint,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,res_type_constraint,rmsd,stability_pure,stability_score_full,stability_without_pssm,timer,yhh_planarity,description
SCORE:,-1242.761,10.266,0,-2729.383,487.777,-782.084,4.928,89.901,392.587,1640.255,-108.848,-92.143,-68.056,-199.372,-67.236,49.773,-89.294,1.072,48.539,168.404,0.153,lowest_energy_1413_0001,,,,,,
SCORE:,-1242.749,10.318,0,-2729.172,486.259,-781.035,4.943,89.619,394.555,1634.836,-108.685,-92.238,-68.021,-199.311,-66.547,49.3,-88.899,1.03,48.603,171.544,0.153,lowest_energy_1206_0001,,,,,,
SCORE:,-1242.736,10.444,0,-2721.055,482.489,-780.418,4.916,89.066,393.706,1627.495,-107.95,-91.901,-68.163,-199.464,-67.15,49.604,-88.879,1.085,48.966,174.32,0.153,lowest_energy_0206_0001,,,,,,
SCORE:,-1242.714,10.504,0,-2723.766,483.936,-780.751,4.95,89.146,395.168,1626.416,-108.074,-92.011,-67.814,-199.35,-67.104,49.151,-88.369,1.016,48.448,175.638,0.153,lowest_energy_0605_0001,,,,,,
SCORE:,-1242.706,10.474,0,-2725.682,482.922,-781.489,4.925,89.095,395.181,1629.396,-108.004,-91.583,-68.16,-199.368,-67.144,49.409,-88.477,1.033,48.364,176.25,0.153,lowest_energy_0607_0001,,,,,,
SCORE:,-1242.705,10.154,0,-2729.257,489.294,-782.772,4.93,90.519,393.987,1639.802,-109.316,-92.482,-69.705,-199.539,-66.572,49.409,-89.009,1.051,48.869,167.779,0.153,lowest_energy_1410_0001,,,,,,
SCORE:,-1242.704,10.302,0,-2726.758,485.043,-780.516,4.941,89.246,392.99,1628.408,-107.896,-92.032,-67.997,-199.157,-67.375,49.769,-87.689,1.032,50.971,173.86,0.153,lowest_energy_0101_0001,,,,,,
SCORE:,-1242.652,10.221,0,-2722.553,482.336,-781.625,4.931,89.089,394.344,1627.432,-108.872,-92.339,-68.138,-199.598,-67.278,49.641,-87.614,1.101,50.832,175.284,0.154,lowest_energy_0105_0001,,,,,,
SCORE:,-1242.623,10.737,0,-2728.066,486.273,-780.385,4.954,89.628,397.739,1628.855,-108.121,-92.376,-67.798,-199.405,-67.651,49.162,-89.379,1.034,48.176,173.847,0.153,lowest_energy_1609_0001,,,,,,
SCORE:,-1242.536,10.072,0,-2723.344,485.238,-780.744,4.935,89.541,392.549,1632.864,-108.164,-91.969,-68.022,-199.172,-67.389,49.346,-89.09,1.005,48.352,171.301,0.153,lowest_energy_1002_0001,,,,,,
SCORE:,-1242.452,10.374,0,-2720.669,483.5,-780.709,4.943,89.242,396.444,1623.752,-108.457,-92.136,-68.178,-199.6,-67.157,49.465,-88.942,1.059,48.992,175.472,0.154,lowest_energy_0209_0001,,,,,,
SCORE:,-1242.423,10.669,0,-2729.187,487.315,-780.485,4.946,89.853,395.11,1633.492,-107.848,-91.889,-67.852,-199.261,-67.597,49.589,-89.366,1.039,47.98,170.916,0.153,lowest_energy_1101_0001,,,,,,
